Generations	Time	GTA+	GTA-
[1277]	time[1277]= 4.280100e+02	94002451	896475223
[1278]	time[1278]= 4.283769e+02	93999688	896479407
[1279]	time[1279]= 4.287439e+02	93997569	896482771
[1280]	time[1280]= 4.291105e+02	93994070	896485834
[1281]	time[1281]= 4.294769e+02	93990601	896491010
[1282]	time[1282]= 4.298440e+02	93986728	896495311
[1283]	time[1283]= 4.302113e+02	93982850	896499159
[1284]	time[1284]= 4.305789e+02	93977791	896504388
[1285]	time[1285]= 4.309458e+02	93972492	896508897
[1286]	time[1286]= 4.313130e+02	93967575	896514072
[1287]	time[1287]= 4.316802e+02	93962891	896517912
[1288]	time[1288]= 4.320470e+02	93958980	896522462
[1289]	time[1289]= 4.324142e+02	93955497	896526025
[1290]	time[1290]= 4.327817e+02	93951516	896530057
[1291]	time[1291]= 4.331484e+02	93948124	896535284
[1292]	time[1292]= 4.335155e+02	93944772	896538608
[1293]	time[1293]= 4.338826e+02	93940371	896543709
[1294]	time[1294]= 4.342498e+02	93937255	896547709
[1295]	time[1295]= 4.346170e+02	93935037	896550495
[1296]	time[1296]= 4.349845e+02	93933478	896553615
[1297]	time[1297]= 4.353515e+02	93930823	896555291
[1298]	time[1298]= 4.357189e+02	93928346	896560180
[1299]	time[1299]= 4.360866e+02	93922155	896565980
[1300]	time[1300]= 4.364542e+02	93918835	896568677
[1301]	time[1301]= 4.368211e+02	93915363	896572828
[1302]	time[1302]= 4.371884e+02	93912070	896577438
[1303]	time[1303]= 4.375558e+02	93908665	896581322
[1304]	time[1304]= 4.379233e+02	93905454	896585603
[1305]	time[1305]= 4.382903e+02	93903045	896586988
[1306]	time[1306]= 4.386575e+02	93899357	896591551
[1307]	time[1307]= 4.390251e+02	93896448	896595742
[1308]	time[1308]= 4.393921e+02	93893633	896598565
[1309]	time[1309]= 4.397597e+02	93891331	896602994
[1310]	time[1310]= 4.401262e+02	93886816	896607893
[1311]	time[1311]= 4.404936e+02	93884939	896610661
[1312]	time[1312]= 4.408619e+02	93881214	896614790
[1313]	time[1313]= 4.412292e+02	93877961	896620074
[1314]	time[1314]= 4.415965e+02	93873176	896624592
[1315]	time[1315]= 4.419642e+02	93869247	896628956
[1316]	time[1316]= 4.423318e+02	93866715	896632248
[1317]	time[1317]= 4.426997e+02	93863519	896635401
[1318]	time[1318]= 4.430673e+02	93860073	896640338
[1319]	time[1319]= 4.434350e+02	93857479	896643403
[1320]	time[1320]= 4.438021e+02	93855070	896646955
[1321]	time[1321]= 4.441700e+02	93850324	896651002
[1322]	time[1322]= 4.445379e+02	93846181	896654857
[1323]	time[1323]= 4.449053e+02	93842547	896659511
[1324]	time[1324]= 4.452733e+02	93839619	896662223
[1325]	time[1325]= 4.456404e+02	93836264	896665510
[1326]	time[1326]= 4.460075e+02	93832256	896668574
[1327]	time[1327]= 4.463749e+02	93828669	896671791
[1328]	time[1328]= 4.467422e+02	93823939	896676642
[1329]	time[1329]= 4.471099e+02	93820589	896679355
[1330]	time[1330]= 4.474776e+02	93816307	896682491
[1331]	time[1331]= 4.478455e+02	93813642	896687231
[1332]	time[1332]= 4.482133e+02	93811303	896689649
[1333]	time[1333]= 4.485808e+02	93808590	896692957
[1334]	time[1334]= 4.489490e+02	93804913	896694987
[1335]	time[1335]= 4.493163e+02	93802570	896697083
[1336]	time[1336]= 4.496850e+02	93800681	896700427
[1337]	time[1337]= 4.500528e+02	93797637	896704080
[1338]	time[1338]= 4.504200e+02	93792174	896709147
[1339]	time[1339]= 4.507875e+02	93786948	896713942
[1340]	time[1340]= 4.511558e+02	93783415	896718570
[1341]	time[1341]= 4.515232e+02	93779491	896722172
[1342]	time[1342]= 4.518916e+02	93777211	896726259
[1343]	time[1343]= 4.522592e+02	93775184	896727917
[1344]	time[1344]= 4.526273e+02	93772545	896730620
[1345]	time[1345]= 4.529951e+02	93769064	896734740
[1346]	time[1346]= 4.533639e+02	93765599	896739930
[1347]	time[1347]= 4.537313e+02	93762142	896744422
[1348]	time[1348]= 4.540997e+02	93758123	896748558
[1349]	time[1349]= 4.544672e+02	93755086	896752593
[1350]	time[1350]= 4.548352e+02	93751718	896756935
[1351]	time[1351]= 4.552035e+02	93748333	896761623
[1352]	time[1352]= 4.555715e+02	93744819	896765367
[1353]	time[1353]= 4.559395e+02	93741460	896769726
[1354]	time[1354]= 4.563078e+02	93738468	896773099
[1355]	time[1355]= 4.566756e+02	93734228	896777991
[1356]	time[1356]= 4.570440e+02	93731155	896782388
[1357]	time[1357]= 4.574116e+02	93728288	896785645
[1358]	time[1358]= 4.577795e+02	93724525	896788836
[1359]	time[1359]= 4.581481e+02	93720035	896792648
[1360]	time[1360]= 4.585160e+02	93717512	896795791
[1361]	time[1361]= 4.588850e+02	93714600	896799773
[1362]	time[1362]= 4.592531e+02	93710877	896804308
[1363]	time[1363]= 4.596214e+02	93708604	896806047
[1364]	time[1364]= 4.599894e+02	93704020	896810796
[1365]	time[1365]= 4.603571e+02	93700091	896815258
[1366]	time[1366]= 4.607251e+02	93697853	896818375
[1367]	time[1367]= 4.610935e+02	93694781	896821559
[1368]	time[1368]= 4.614619e+02	93692118	896824775
[1369]	time[1369]= 4.618302e+02	93687933	896828018
[1370]	time[1370]= 4.621986e+02	93685619	896829653
[1371]	time[1371]= 4.625668e+02	93681276	896833818
[1372]	time[1372]= 4.629347e+02	93678938	896836268
[1373]	time[1373]= 4.633030e+02	93674660	896840701
[1374]	time[1374]= 4.636711e+02	93673133	896844002
[1375]	time[1375]= 4.640399e+02	93670449	896846382
[1376]	time[1376]= 4.644083e+02	93666218	896851286
[1377]	time[1377]= 4.647768e+02	93661308	896854899
[1378]	time[1378]= 4.651447e+02	93659771	896857478
[1379]	time[1379]= 4.655131e+02	93656629	896861227
[1380]	time[1380]= 4.658815e+02	93653250	896865533
[1381]	time[1381]= 4.662498e+02	93649514	896869644
[1382]	time[1382]= 4.666184e+02	93646079	896873744
[1383]	time[1383]= 4.669862e+02	93643083	896877794
[1384]	time[1384]= 4.673544e+02	93639658	896880984
[1385]	time[1385]= 4.677230e+02	93636700	896885179
[1386]	time[1386]= 4.680918e+02	93633150	896888087
[1387]	time[1387]= 4.684606e+02	93630232	896891773
[1388]	time[1388]= 4.688288e+02	93626200	896897304
[1389]	time[1389]= 4.691972e+02	93622969	896900971
[1390]	time[1390]= 4.695657e+02	93618191	896905941
[1391]	time[1391]= 4.699342e+02	93615039	896908748
[1392]	time[1392]= 4.703032e+02	93610789	896913583
[1393]	time[1393]= 4.706717e+02	93606767	896918440
[1394]	time[1394]= 4.710404e+02	93603520	896923225
[1395]	time[1395]= 4.714090e+02	93601624	896925362
[1396]	time[1396]= 4.717774e+02	93597864	896928876
[1397]	time[1397]= 4.721461e+02	93594251	896932968
[1398]	time[1398]= 4.725145e+02	93591006	896935666
[1399]	time[1399]= 4.728830e+02	93585855	896940158
[1400]	time[1400]= 4.732514e+02	93583331	896943561
[1401]	time[1401]= 4.736207e+02	93580908	896946252
[1402]	time[1402]= 4.739889e+02	93578214	896948949
[1403]	time[1403]= 4.743575e+02	93575274	896951856
[1404]	time[1404]= 4.747265e+02	93571962	896954752
[1405]	time[1405]= 4.750952e+02	93568483	896958820
[1406]	time[1406]= 4.754635e+02	93567814	896959234
[1407]	time[1407]= 4.758325e+02	93564007	896963045
[1408]	time[1408]= 4.762011e+02	93561892	896966474
[1409]	time[1409]= 4.765701e+02	93560332	896969191
[1410]	time[1410]= 4.769391e+02	93557818	896972668
[1411]	time[1411]= 4.773079e+02	93555125	896975832
[1412]	time[1412]= 4.776767e+02	93551776	896979175
[1413]	time[1413]= 4.780450e+02	93550129	896982047
[1414]	time[1414]= 4.784137e+02	93545958	896985682
[1415]	time[1415]= 4.787826e+02	93543877	896988954
[1416]	time[1416]= 4.791515e+02	93541651	896991233
[1417]	time[1417]= 4.795207e+02	93539017	896995448
[1418]	time[1418]= 4.798894e+02	93536530	896999730
[1419]	time[1419]= 4.802585e+02	93533305	897003386
[1420]	time[1420]= 4.806271e+02	93529894	897007596
[1421]	time[1421]= 4.809954e+02	93525425	897013183
[1422]	time[1422]= 4.813644e+02	93523314	897015344
[1423]	time[1423]= 4.817341e+02	93521302	897018892
[1424]	time[1424]= 4.821034e+02	93518993	897021129
[1425]	time[1425]= 4.824727e+02	93514770	897025536
[1426]	time[1426]= 4.828420e+02	93511560	897028949
[1427]	time[1427]= 4.832108e+02	93506920	897033513
[1428]	time[1428]= 4.835802e+02	93503470	897036332
[1429]	time[1429]= 4.839499e+02	93499241	897039591
[1430]	time[1430]= 4.843193e+02	93495097	897043635
[1431]	time[1431]= 4.846874e+02	93491832	897046735
[1432]	time[1432]= 4.850566e+02	93488199	897050165
[1433]	time[1433]= 4.854250e+02	93484395	897052824
[1434]	time[1434]= 4.857947e+02	93481470	897056142
[1435]	time[1435]= 4.861638e+02	93479509	897059078
[1436]	time[1436]= 4.865331e+02	93477024	897060747
[1437]	time[1437]= 4.869022e+02	93473499	897063444
[1438]	time[1438]= 4.872725e+02	93470920	897067140
[1439]	time[1439]= 4.876419e+02	93467070	897071541
[1440]	time[1440]= 4.880118e+02	93463593	897074737
[1441]	time[1441]= 4.883805e+02	93461372	897078481
[1442]	time[1442]= 4.887496e+02	93458313	897082681
[1443]	time[1443]= 4.891190e+02	93455437	897086076
[1444]	time[1444]= 4.894882e+02	93452475	897088954
[1445]	time[1445]= 4.898580e+02	93448096	897092703
[1446]	time[1446]= 4.902269e+02	93443397	897095856
[1447]	time[1447]= 4.905961e+02	93439711	897098829
[1448]	time[1448]= 4.909645e+02	93437744	897101881
[1449]	time[1449]= 4.913337e+02	93434597	897105919
[1450]	time[1450]= 4.917021e+02	93430639	897109424
[1451]	time[1451]= 4.920712e+02	93427268	897113574
[1452]	time[1452]= 4.924403e+02	93423107	897117290
[1453]	time[1453]= 4.928089e+02	93418624	897122000
[1454]	time[1454]= 4.931775e+02	93415278	897125263
[1455]	time[1455]= 4.935468e+02	93411761	897129645
[1456]	time[1456]= 4.939164e+02	93407980	897134745
[1457]	time[1457]= 4.942862e+02	93405072	897138334
[1458]	time[1458]= 4.946558e+02	93402699	897141531
[1459]	time[1459]= 4.950247e+02	93400688	897144502
[1460]	time[1460]= 4.953938e+02	93397029	897148311
[1461]	time[1461]= 4.957638e+02	93393387	897151216
[1462]	time[1462]= 4.961332e+02	93389747	897153491
[1463]	time[1463]= 4.965027e+02	93386983	897157587
[1464]	time[1464]= 4.968716e+02	93383485	897162549
[1465]	time[1465]= 4.972412e+02	93379796	897166133
[1466]	time[1466]= 4.976105e+02	93377626	897169069
[1467]	time[1467]= 4.979793e+02	93374198	897172415
[1468]	time[1468]= 4.983491e+02	93370174	897176305
[1469]	time[1469]= 4.987182e+02	93366290	897180572
[1470]	time[1470]= 4.990879e+02	93363746	897182874
[1471]	time[1471]= 4.994575e+02	93359437	897186352
[1472]	time[1472]= 4.998271e+02	93355910	897190482
[1473]	time[1473]= 5.001966e+02	93351971	897194481
[1474]	time[1474]= 5.005659e+02	93346816	897198603
[1475]	time[1475]= 5.009349e+02	93342971	897202869
[1476]	time[1476]= 5.013045e+02	93339909	897205122
[1477]	time[1477]= 5.016743e+02	93335711	897209963
[1478]	time[1478]= 5.020447e+02	93333092	897212892
[1479]	time[1479]= 5.024143e+02	93330249	897216423
[1480]	time[1480]= 5.027845e+02	93327934	897219548
[1481]	time[1481]= 5.031541e+02	93325520	897223332
[1482]	time[1482]= 5.035236e+02	93321813	897226931
[1483]	time[1483]= 5.038929e+02	93318238	897229441
[1484]	time[1484]= 5.042627e+02	93314134	897233819
[1485]	time[1485]= 5.046326e+02	93311322	897237183
[1486]	time[1486]= 5.050020e+02	93309081	897241441
[1487]	time[1487]= 5.053713e+02	93306279	897245488
[1488]	time[1488]= 5.057413e+02	93303275	897247612
[1489]	time[1489]= 5.061112e+02	93300880	897249248
[1490]	time[1490]= 5.064808e+02	93298891	897251740
[1491]	time[1491]= 5.068499e+02	93296262	897255987
[1492]	time[1492]= 5.072198e+02	93294143	897259500
[1493]	time[1493]= 5.075894e+02	93290756	897262544
[1494]	time[1494]= 5.079591e+02	93286953	897266369
[1495]	time[1495]= 5.083291e+02	93284605	897269664
[1496]	time[1496]= 5.086986e+02	93282074	897272478
[1497]	time[1497]= 5.090682e+02	93278371	897276258
[1498]	time[1498]= 5.094383e+02	93274618	897280121
[1499]	time[1499]= 5.098084e+02	93270395	897285837
[1500]	time[1500]= 5.101786e+02	93267043	897290958
[1501]	time[1501]= 5.105488e+02	93264834	897293593
[1502]	time[1502]= 5.109184e+02	93262057	897297233
[1503]	time[1503]= 5.112877e+02	93258969	897300783
[1504]	time[1504]= 5.116574e+02	93255199	897305635
[1505]	time[1505]= 5.120275e+02	93250465	897309639
[1506]	time[1506]= 5.123968e+02	93246228	897315004
[1507]	time[1507]= 5.127671e+02	93242829	897318251
[1508]	time[1508]= 5.131375e+02	93241289	897320867
[1509]	time[1509]= 5.135075e+02	93239170	897323661
[1510]	time[1510]= 5.138773e+02	93234925	897327923
[1511]	time[1511]= 5.142471e+02	93231728	897330964
[1512]	time[1512]= 5.146174e+02	93229098	897333439
[1513]	time[1513]= 5.149872e+02	93225790	897336841
[1514]	time[1514]= 5.153570e+02	93222075	897340248
[1515]	time[1515]= 5.157272e+02	93217965	897343888
[1516]	time[1516]= 5.160971e+02	93215276	897347866
[1517]	time[1517]= 5.164675e+02	93212018	897351456
[1518]	time[1518]= 5.168379e+02	93209740	897354661
[1519]	time[1519]= 5.172075e+02	93206079	897358177
[1520]	time[1520]= 5.175775e+02	93202357	897362289
[1521]	time[1521]= 5.179473e+02	93199485	897365706
[1522]	time[1522]= 5.183175e+02	93195898	897369230
[1523]	time[1523]= 5.186874e+02	93192153	897373132
[1524]	time[1524]= 5.190583e+02	93188577	897377073
[1525]	time[1525]= 5.194281e+02	93185572	897379597
[1526]	time[1526]= 5.197981e+02	93182788	897383543
[1527]	time[1527]= 5.201671e+02	93179022	897388568
[1528]	time[1528]= 5.205375e+02	93177458	897392393
[1529]	time[1529]= 5.209083e+02	93174699	897395990
[1530]	time[1530]= 5.212787e+02	93170931	897401670
[1531]	time[1531]= 5.216488e+02	93168353	897405174
[1532]	time[1532]= 5.220183e+02	93164214	897409377
[1533]	time[1533]= 5.223887e+02	93160602	897413277
[1534]	time[1534]= 5.227585e+02	93157322	897416681
[1535]	time[1535]= 5.231283e+02	93155471	897418579
[1536]	time[1536]= 5.234988e+02	93152280	897422064
[1537]	time[1537]= 5.238691e+02	93147703	897425916
[1538]	time[1538]= 5.242397e+02	93143569	897430114
[1539]	time[1539]= 5.246096e+02	93139193	897433525
[1540]	time[1540]= 5.249798e+02	93134452	897438448
[1541]	time[1541]= 5.253498e+02	93130996	897441614
[1542]	time[1542]= 5.257201e+02	93126743	897445795
[1543]	time[1543]= 5.260904e+02	93122369	897450539
[1544]	time[1544]= 5.264599e+02	93118925	897454691
[1545]	time[1545]= 5.268308e+02	93115652	897458282
[1546]	time[1546]= 5.272010e+02	93113328	897461061
[1547]	time[1547]= 5.275715e+02	93109682	897464146
[1548]	time[1548]= 5.279421e+02	93105902	897468136
[1549]	time[1549]= 5.283124e+02	93102108	897472145
[1550]	time[1550]= 5.286832e+02	93098833	897475028
[1551]	time[1551]= 5.290540e+02	93095049	897480077
[1552]	time[1552]= 5.294247e+02	93092811	897483292
[1553]	time[1553]= 5.297956e+02	93088925	897486975
[1554]	time[1554]= 5.301657e+02	93086156	897490241
[1555]	time[1555]= 5.305365e+02	93082976	897492668
[1556]	time[1556]= 5.309070e+02	93079363	897495958
[1557]	time[1557]= 5.312775e+02	93076548	897497772
[1558]	time[1558]= 5.316481e+02	93072742	897502465
[1559]	time[1559]= 5.320181e+02	93069780	897504145
[1560]	time[1560]= 5.323885e+02	93065601	897509647
[1561]	time[1561]= 5.327594e+02	93063380	897513654
[1562]	time[1562]= 5.331301e+02	93060532	897517861
[1563]	time[1563]= 5.335010e+02	93057233	897522690
[1564]	time[1564]= 5.338716e+02	93053941	897527686
[1565]	time[1565]= 5.342420e+02	93050695	897531956
[1566]	time[1566]= 5.346131e+02	93049124	897534540
[1567]	time[1567]= 5.349845e+02	93046244	897538372
[1568]	time[1568]= 5.353554e+02	93043761	897541732
[1569]	time[1569]= 5.357265e+02	93042025	897544859
[1570]	time[1570]= 5.360975e+02	93039788	897547668
[1571]	time[1571]= 5.364681e+02	93036714	897550635
[1572]	time[1572]= 5.368389e+02	93032759	897554479
[1573]	time[1573]= 5.372092e+02	93029948	897557887
[1574]	time[1574]= 5.375798e+02	93027908	897559726
[1575]	time[1575]= 5.379508e+02	93023853	897563844
[1576]	time[1576]= 5.383219e+02	93018935	897569191
[1577]	time[1577]= 5.386930e+02	93016441	897571617
[1578]	time[1578]= 5.390640e+02	93013660	897574883
[1579]	time[1579]= 5.394346e+02	93008976	897578928
[1580]	time[1580]= 5.398060e+02	93005470	897583611
[1581]	time[1581]= 5.401771e+02	93002997	897587873
[1582]	time[1582]= 5.405484e+02	92997301	897592171
[1583]	time[1583]= 5.409193e+02	92994337	897593414
[1584]	time[1584]= 5.412901e+02	92991413	897596650
[1585]	time[1585]= 5.416606e+02	92988286	897600372
[1586]	time[1586]= 5.420329e+02	92985279	897604699
[1587]	time[1587]= 5.424037e+02	92981217	897609122
[1588]	time[1588]= 5.427749e+02	92977226	897613077
[1589]	time[1589]= 5.431461e+02	92976094	897616356
[1590]	time[1590]= 5.435167e+02	92972426	897620101
[1591]	time[1591]= 5.438878e+02	92969908	897624256
[1592]	time[1592]= 5.442588e+02	92967671	897626471
[1593]	time[1593]= 5.446293e+02	92962893	897631168
[1594]	time[1594]= 5.450010e+02	92960732	897634935
[1595]	time[1595]= 5.453730e+02	92959453	897637428
[1596]	time[1596]= 5.457448e+02	92956817	897641306
[1597]	time[1597]= 5.461166e+02	92952880	897644411
[1598]	time[1598]= 5.464882e+02	92949219	897647832
[1599]	time[1599]= 5.468593e+02	92946541	897649805
[1600]	time[1600]= 5.472301e+02	92942773	897653731
[1601]	time[1601]= 5.476013e+02	92938407	897657297
[1602]	time[1602]= 5.479727e+02	92934654	897660682
[1603]	time[1603]= 5.483432e+02	92930757	897663896
[1604]	time[1604]= 5.487139e+02	92929281	897666305
[1605]	time[1605]= 5.490848e+02	92925825	897670792
[1606]	time[1606]= 5.494555e+02	92922368	897673281
[1607]	time[1607]= 5.498262e+02	92917696	897677946
[1608]	time[1608]= 5.501972e+02	92915249	897681156
[1609]	time[1609]= 5.505681e+02	92912118	897683529
[1610]	time[1610]= 5.509387e+02	92907859	897688791
[1611]	time[1611]= 5.513101e+02	92904492	897691590
[1612]	time[1612]= 5.516809e+02	92900659	897695189
[1613]	time[1613]= 5.520522e+02	92897883	897698278
[1614]	time[1614]= 5.524236e+02	92893297	897702504
[1615]	time[1615]= 5.527947e+02	92889196	897706317
[1616]	time[1616]= 5.531661e+02	92884817	897710855
[1617]	time[1617]= 5.535371e+02	92880720	897714858
[1618]	time[1618]= 5.539085e+02	92878267	897718932
[1619]	time[1619]= 5.542797e+02	92873864	897722938
[1620]	time[1620]= 5.546511e+02	92871199	897726908
[1621]	time[1621]= 5.550226e+02	92868032	897731570
[1622]	time[1622]= 5.553939e+02	92865010	897735792
[1623]	time[1623]= 5.557646e+02	92859829	897739703
[1624]	time[1624]= 5.561363e+02	92856477	897742661
[1625]	time[1625]= 5.565073e+02	92853141	897746796
[1626]	time[1626]= 5.568787e+02	92851174	897750453
[1627]	time[1627]= 5.572497e+02	92846585	897754743
[1628]	time[1628]= 5.576214e+02	92844690	897757639
[1629]	time[1629]= 5.579934e+02	92842025	897759815
[1630]	time[1630]= 5.583653e+02	92839596	897763993
[1631]	time[1631]= 5.587364e+02	92837098	897766599
[1632]	time[1632]= 5.591089e+02	92834035	897769976
[1633]	time[1633]= 5.594803e+02	92830958	897773277
[1634]	time[1634]= 5.598518e+02	92828025	897777713
[1635]	time[1635]= 5.602232e+02	92825620	897780983
[1636]	time[1636]= 5.605953e+02	92822360	897785277
[1637]	time[1637]= 5.609663e+02	92819056	897787776
[1638]	time[1638]= 5.613383e+02	92815931	897791669
[1639]	time[1639]= 5.617100e+02	92812720	897796658
[1640]	time[1640]= 5.620808e+02	92809898	897800620
[1641]	time[1641]= 5.624525e+02	92805929	897806394
[1642]	time[1642]= 5.628243e+02	92801301	897811857
[1643]	time[1643]= 5.631962e+02	92798336	897814059
[1644]	time[1644]= 5.635675e+02	92795999	897816915
[1645]	time[1645]= 5.639390e+02	92792221	897819861
[1646]	time[1646]= 5.643113e+02	92789917	897823700
[1647]	time[1647]= 5.646833e+02	92786851	897825763
[1648]	time[1648]= 5.650559e+02	92781981	897831485
[1649]	time[1649]= 5.654278e+02	92778036	897834347
[1650]	time[1650]= 5.657996e+02	92774539	897836954
[1651]	time[1651]= 5.661711e+02	92771807	897838582
[1652]	time[1652]= 5.665435e+02	92768916	897842391
[1653]	time[1653]= 5.669153e+02	92766329	897844149
[1654]	time[1654]= 5.672880e+02	92762887	897848136
[1655]	time[1655]= 5.676590e+02	92759879	897850898
[1656]	time[1656]= 5.680303e+02	92757386	897853649
[1657]	time[1657]= 5.684023e+02	92754185	897856848
[1658]	time[1658]= 5.687739e+02	92750418	897861608
[1659]	time[1659]= 5.691454e+02	92746426	897865555
[1660]	time[1660]= 5.695174e+02	92742470	897869623
[1661]	time[1661]= 5.698893e+02	92739749	897871643
[1662]	time[1662]= 5.702605e+02	92738242	897874230
[1663]	time[1663]= 5.706326e+02	92734958	897877524
[1664]	time[1664]= 5.710044e+02	92732551	897881509
[1665]	time[1665]= 5.713766e+02	92728617	897885152
[1666]	time[1666]= 5.717484e+02	92725178	897889393
[1667]	time[1667]= 5.721198e+02	92722715	897892977
[1668]	time[1668]= 5.724914e+02	92719613	897895336
[1669]	time[1669]= 5.728633e+02	92716935	897899127
[1670]	time[1670]= 5.732348e+02	92713452	897902380
[1671]	time[1671]= 5.736071e+02	92708909	897906403
[1672]	time[1672]= 5.739789e+02	92706122	897909178
[1673]	time[1673]= 5.743515e+02	92703062	897912622
[1674]	time[1674]= 5.747231e+02	92699752	897916628
[1675]	time[1675]= 5.750952e+02	92695219	897921061
[1676]	time[1676]= 5.754671e+02	92693233	897924503
[1677]	time[1677]= 5.758394e+02	92690896	897927533
[1678]	time[1678]= 5.762115e+02	92686934	897932275
[1679]	time[1679]= 5.765838e+02	92683146	897935833
[1680]	time[1680]= 5.769561e+02	92680140	897939519
[1681]	time[1681]= 5.773289e+02	92676632	897943304
[1682]	time[1682]= 5.777008e+02	92672684	897947524
[1683]	time[1683]= 5.780734e+02	92668353	897952791
[1684]	time[1684]= 5.784456e+02	92664281	897957380
[1685]	time[1685]= 5.788187e+02	92659440	897962803
[1686]	time[1686]= 5.791904e+02	92656595	897965373
[1687]	time[1687]= 5.795623e+02	92653735	897968804
[1688]	time[1688]= 5.799340e+02	92650237	897971815
[1689]	time[1689]= 5.803060e+02	92647851	897974631
[1690]	time[1690]= 5.806781e+02	92643850	897978712
[1691]	time[1691]= 5.810496e+02	92641435	897981794
[1692]	time[1692]= 5.814214e+02	92637513	897985250
[1693]	time[1693]= 5.817944e+02	92633727	897989060
[1694]	time[1694]= 5.821667e+02	92631346	897991959
[1695]	time[1695]= 5.825389e+02	92626229	897995751
[1696]	time[1696]= 5.829114e+02	92622111	898000372
[1697]	time[1697]= 5.832837e+02	92618033	898003660
[1698]	time[1698]= 5.836562e+02	92613722	898007679
[1699]	time[1699]= 5.840286e+02	92610232	898011089
[1700]	time[1700]= 5.844006e+02	92605695	898015401
[1701]	time[1701]= 5.847726e+02	92603949	898018285
[1702]	time[1702]= 5.851449e+02	92601348	898021459
[1703]	time[1703]= 5.855178e+02	92597704	898024762
[1704]	time[1704]= 5.858896e+02	92595400	898028344
[1705]	time[1705]= 5.862619e+02	92591963	898030998
[1706]	time[1706]= 5.866339e+02	92588831	898035037
[1707]	time[1707]= 5.870063e+02	92584905	898040038
[1708]	time[1708]= 5.873784e+02	92580470	898044331
[1709]	time[1709]= 5.877508e+02	92578296	898048453
[1710]	time[1710]= 5.881236e+02	92576614	898052190
[1711]	time[1711]= 5.884958e+02	92573853	898056111
[1712]	time[1712]= 5.888683e+02	92569959	898060866
[1713]	time[1713]= 5.892408e+02	92567669	898064305
[1714]	time[1714]= 5.896133e+02	92564454	898068580
[1715]	time[1715]= 5.899860e+02	92561318	898071689
[1716]	time[1716]= 5.903579e+02	92557197	898076172
[1717]	time[1717]= 5.907312e+02	92554686	898080063
[1718]	time[1718]= 5.911035e+02	92550830	898083953
[1719]	time[1719]= 5.914764e+02	92548282	898087340
[1720]	time[1720]= 5.918492e+02	92545595	898091214
[1721]	time[1721]= 5.922220e+02	92542740	898094877
[1722]	time[1722]= 5.925947e+02	92538082	898099735
[1723]	time[1723]= 5.929676e+02	92534368	898103623
[1724]	time[1724]= 5.933400e+02	92531936	898107601
[1725]	time[1725]= 5.937128e+02	92529595	898109706
[1726]	time[1726]= 5.940849e+02	92525685	898113675
[1727]	time[1727]= 5.944582e+02	92521503	898117573
[1728]	time[1728]= 5.948307e+02	92518354	898120852
[1729]	time[1729]= 5.952034e+02	92515097	898124913
[1730]	time[1730]= 5.955763e+02	92511818	898128353
[1731]	time[1731]= 5.959490e+02	92507717	898130901
[1732]	time[1732]= 5.963218e+02	92504678	898134514
[1733]	time[1733]= 5.966949e+02	92502489	898137683
[1734]	time[1734]= 5.970672e+02	92498947	898140980
[1735]	time[1735]= 5.974402e+02	92495820	898143467
[1736]	time[1736]= 5.978131e+02	92492328	898146869
[1737]	time[1737]= 5.981863e+02	92488599	898149867
[1738]	time[1738]= 5.985589e+02	92484152	898154022
[1739]	time[1739]= 5.989318e+02	92480564	898156836
[1740]	time[1740]= 5.993052e+02	92478662	898160971
[1741]	time[1741]= 5.996775e+02	92475505	898164730
[1742]	time[1742]= 6.000503e+02	92473336	898170024
[1743]	time[1743]= 6.004231e+02	92470256	898173942
[1744]	time[1744]= 6.007965e+02	92468371	898177470
[1745]	time[1745]= 6.011692e+02	92464578	898180748
[1746]	time[1746]= 6.015425e+02	92462129	898184056
[1747]	time[1747]= 6.019151e+02	92458346	898186404
[1748]	time[1748]= 6.022883e+02	92455635	898189464
[1749]	time[1749]= 6.026612e+02	92451735	898192759
[1750]	time[1750]= 6.030348e+02	92449298	898195177
[1751]	time[1751]= 6.034078e+02	92446288	898198797
[1752]	time[1752]= 6.037807e+02	92442201	898203084
[1753]	time[1753]= 6.041535e+02	92439955	898206371
[1754]	time[1754]= 6.045266e+02	92436516	898210491
[1755]	time[1755]= 6.048998e+02	92432074	898214479
[1756]	time[1756]= 6.052735e+02	92429166	898218840
[1757]	time[1757]= 6.056469e+02	92425031	898221796
[1758]	time[1758]= 6.060205e+02	92421963	898224608
[1759]	time[1759]= 6.063935e+02	92418290	898228057
[1760]	time[1760]= 6.067658e+02	92413718	898232016
[1761]	time[1761]= 6.071391e+02	92409976	898235024
[1762]	time[1762]= 6.075117e+02	92406624	898239987
[1763]	time[1763]= 6.078852e+02	92401551	898244244
[1764]	time[1764]= 6.082579e+02	92398965	898248018
[1765]	time[1765]= 6.086309e+02	92396009	898251860
[1766]	time[1766]= 6.090040e+02	92391158	898257091
[1767]	time[1767]= 6.093769e+02	92388238	898259929
[1768]	time[1768]= 6.097507e+02	92385187	898263549
[1769]	time[1769]= 6.101236e+02	92381112	898267104
[1770]	time[1770]= 6.104965e+02	92376733	898271113
[1771]	time[1771]= 6.108696e+02	92372884	898273752
[1772]	time[1772]= 6.112428e+02	92369268	898277517
[1773]	time[1773]= 6.116169e+02	92366972	898280615
[1774]	time[1774]= 6.119903e+02	92362520	898284347
[1775]	time[1775]= 6.123640e+02	92358467	898288923
