Generations	Time	GTA+	GTA-
[122]	time[122]= 1.801229e+01	96442574	877189074
[123]	time[123]= 1.824210e+01	96471698	877521047
[124]	time[124]= 1.847337e+01	96500579	877850315
[125]	time[125]= 1.870654e+01	96529305	878174298
[126]	time[126]= 1.894105e+01	96558629	878491929
[127]	time[127]= 1.917735e+01	96587944	878805969
[128]	time[128]= 1.941544e+01	96616110	879114225
[129]	time[129]= 1.965527e+01	96642766	879418809
[130]	time[130]= 1.989734e+01	96669792	879719217
[131]	time[131]= 2.014120e+01	96697645	880014846
[132]	time[132]= 2.038642e+01	96722323	880304960
[133]	time[133]= 2.063361e+01	96747874	880590583
[134]	time[134]= 2.088215e+01	96771486	880871869
[135]	time[135]= 2.113288e+01	96796803	881147320
[136]	time[136]= 2.138502e+01	96819356	881419304
[137]	time[137]= 2.163924e+01	96842967	881686882
[138]	time[138]= 2.189470e+01	96866936	881948828
[139]	time[139]= 2.215267e+01	96889577	882206520
[140]	time[140]= 2.241192e+01	96911631	882459183
[141]	time[141]= 2.267294e+01	96933628	882707893
[142]	time[142]= 2.293552e+01	96955037	882951760
[143]	time[143]= 2.320044e+01	96975740	883192071
[144]	time[144]= 2.346660e+01	96994824	883427142
[145]	time[145]= 2.373428e+01	97014018	883658617
[146]	time[146]= 2.400401e+01	97032952	883885206
[147]	time[147]= 2.427511e+01	97052000	884108732
[148]	time[148]= 2.454795e+01	97071366	884324489
[149]	time[149]= 2.482183e+01	97089429	884537569
[150]	time[150]= 2.509772e+01	97105244	884746096
[151]	time[151]= 2.537561e+01	97123162	884948979
[152]	time[152]= 2.565502e+01	97140882	885149384
[153]	time[153]= 2.593600e+01	97157432	885346573
[154]	time[154]= 2.621819e+01	97173355	885537703
[155]	time[155]= 2.650212e+01	97187048	885726031
[156]	time[156]= 2.678770e+01	97202542	885909058
[157]	time[157]= 2.707476e+01	97216877	886088697
[158]	time[158]= 2.736365e+01	97230582	886265977
[159]	time[159]= 2.765371e+01	97243870	886439439
[160]	time[160]= 2.794568e+01	97256980	886608057
[161]	time[161]= 2.823906e+01	97270081	886772646
[162]	time[162]= 2.853342e+01	97281206	886932766
[163]	time[163]= 2.882919e+01	97293618	887089812
[164]	time[164]= 2.912621e+01	97304121	887242993
[165]	time[165]= 2.942455e+01	97315977	887392946
[166]	time[166]= 2.972440e+01	97327331	887538733
[167]	time[167]= 3.002566e+01	97338989	887679986
[168]	time[168]= 3.032831e+01	97349806	887818079
[169]	time[169]= 3.063201e+01	97359774	887951683
[170]	time[170]= 3.093694e+01	97368688	888084606
[171]	time[171]= 3.124312e+01	97379416	888213243
[172]	time[172]= 3.155057e+01	97388718	888338364
[173]	time[173]= 3.185919e+01	97397024	888461259
[174]	time[174]= 3.216899e+01	97404772	888581994
[175]	time[175]= 3.248039e+01	97412304	888698415
[176]	time[176]= 3.279238e+01	97418319	888812426
[177]	time[177]= 3.310604e+01	97426932	888922036
[178]	time[178]= 3.342081e+01	97433791	889029526
[179]	time[179]= 3.373657e+01	97441148	889134437
[180]	time[180]= 3.405295e+01	97446038	889236320
[181]	time[181]= 3.437138e+01	97451382	889337232
[182]	time[182]= 3.468997e+01	97457271	889433525
[183]	time[183]= 3.500978e+01	97463956	889527236
[184]	time[184]= 3.533035e+01	97470321	889617796
[185]	time[185]= 3.565159e+01	97476279	889705328
[186]	time[186]= 3.597384e+01	97480574	889791007
[187]	time[187]= 3.629632e+01	97486726	889874704
[188]	time[188]= 3.662080e+01	97490432	889957569
[189]	time[189]= 3.694541e+01	97494328	890038452
[190]	time[190]= 3.727081e+01	97498810	890115317
[191]	time[191]= 3.759762e+01	97501949	890190708
[192]	time[192]= 3.792556e+01	97505877	890264461
[193]	time[193]= 3.825388e+01	97509184	890335569
[194]	time[194]= 3.858323e+01	97512999	890403250
[195]	time[195]= 3.891307e+01	97515854	890470089
[196]	time[196]= 3.924362e+01	97518568	890535656
[197]	time[197]= 3.957533e+01	97521684	890599121
[198]	time[198]= 3.990679e+01	97522672	890662259
[199]	time[199]= 4.023962e+01	97525693	890721609
[200]	time[200]= 4.057281e+01	97526431	890781343
[201]	time[201]= 4.090691e+01	97527395	890838368
[202]	time[202]= 4.124127e+01	97528534	890893339
[203]	time[203]= 4.157648e+01	97530543	890947218
[204]	time[204]= 4.191221e+01	97533026	890998500
[205]	time[205]= 4.224807e+01	97534233	891049231
[206]	time[206]= 4.258470e+01	97535916	891098877
[207]	time[207]= 4.292151e+01	97536021	891146338
[208]	time[208]= 4.325903e+01	97536216	891194066
[209]	time[209]= 4.359769e+01	97536814	891238547
[210]	time[210]= 4.393676e+01	97537304	891282745
[211]	time[211]= 4.427627e+01	97538726	891325298
[212]	time[212]= 4.461604e+01	97539919	891366521
[213]	time[213]= 4.495655e+01	97541485	891406697
[214]	time[214]= 4.529710e+01	97541291	891445227
[215]	time[215]= 4.563780e+01	97541838	891482795
[216]	time[216]= 4.597985e+01	97541578	891519141
[217]	time[217]= 4.632146e+01	97542072	891554612
[218]	time[218]= 4.666348e+01	97541189	891588611
[219]	time[219]= 4.700658e+01	97541704	891620951
[220]	time[220]= 4.734965e+01	97539834	891654503
[221]	time[221]= 4.769331e+01	97538795	891686105
[222]	time[222]= 4.803714e+01	97539331	891715354
[223]	time[223]= 4.838098e+01	97539569	891744968
[224]	time[224]= 4.872579e+01	97537927	891773930
[225]	time[225]= 4.907075e+01	97536116	891801935
[226]	time[226]= 4.941613e+01	97535630	891829211
[227]	time[227]= 4.976146e+01	97533390	891857404
[228]	time[228]= 5.010662e+01	97532384	891882597
[229]	time[229]= 5.045279e+01	97532510	891906858
[230]	time[230]= 5.079960e+01	97531249	891932033
[231]	time[231]= 5.114571e+01	97529203	891956250
[232]	time[232]= 5.149233e+01	97527443	891979114
[233]	time[233]= 5.183920e+01	97526064	892002527
[234]	time[234]= 5.218632e+01	97525383	892023880
[235]	time[235]= 5.253386e+01	97525130	892045367
[236]	time[236]= 5.288099e+01	97524998	892066286
[237]	time[237]= 5.322875e+01	97524191	892086232
[238]	time[238]= 5.357742e+01	97521997	892107700
[239]	time[239]= 5.392609e+01	97520360	892126446
[240]	time[240]= 5.427454e+01	97516968	892145529
[241]	time[241]= 5.462361e+01	97515239	892164501
[242]	time[242]= 5.497251e+01	97514699	892180450
[243]	time[243]= 5.532207e+01	97512144	892196770
[244]	time[244]= 5.567176e+01	97510596	892211910
[245]	time[245]= 5.602142e+01	97509465	892227939
[246]	time[246]= 5.637049e+01	97506259	892243919
[247]	time[247]= 5.672036e+01	97504565	892258611
[248]	time[248]= 5.707094e+01	97500910	892272832
[249]	time[249]= 5.742087e+01	97498952	892287236
[250]	time[250]= 5.777142e+01	97495339	892301777
[251]	time[251]= 5.812163e+01	97493393	892314976
[252]	time[252]= 5.847140e+01	97490470	892329762
[253]	time[253]= 5.882206e+01	97487896	892343054
[254]	time[254]= 5.917256e+01	97485034	892355756
[255]	time[255]= 5.952340e+01	97483071	892367902
[256]	time[256]= 5.987455e+01	97479995	892380292
[257]	time[257]= 6.022609e+01	97476900	892393426
[258]	time[258]= 6.057723e+01	97474752	892403570
[259]	time[259]= 6.092862e+01	97470968	892416400
[260]	time[260]= 6.128085e+01	97468504	892429097
[261]	time[261]= 6.163229e+01	97465550	892439603
[262]	time[262]= 6.198447e+01	97462506	892449650
[263]	time[263]= 6.233685e+01	97459855	892459355
[264]	time[264]= 6.268823e+01	97456936	892469405
[265]	time[265]= 6.304032e+01	97453519	892480501
[266]	time[266]= 6.339270e+01	97451558	892490248
[267]	time[267]= 6.374467e+01	97448534	892500222
[268]	time[268]= 6.409749e+01	97446110	892507936
[269]	time[269]= 6.444974e+01	97444435	892516471
[270]	time[270]= 6.480213e+01	97442940	892524548
[271]	time[271]= 6.515475e+01	97439752	892532040
[272]	time[272]= 6.550832e+01	97437349	892540302
[273]	time[273]= 6.586055e+01	97434054	892549032
[274]	time[274]= 6.621403e+01	97431418	892556812
[275]	time[275]= 6.656626e+01	97428845	892563951
